City,id,zip,lat,lon,cdd Jan,hdd Jan,cdd Feb,hdd Feb,cdd Mar,hdd Mar,cdd Apr,hdd Apr,cdd May,hdd May,cdd Jun,hdd Jun,cdd Jul,hdd Jul,cdd Aug,hdd Aug,cdd Sep,hdd Sep,cdd Oct,hdd Oct,cdd Nov,hdd Nov,cdd Dec,hdd Dec,zip,lat,lon,cdd Jan 2021,cdd Feb 2021,cdd Mar 2021,cdd Apr 2021,cdd May 2021,cdd Jun 2021,cdd Jul 2021,cdd Aug 2021,cdd Sep 2021,cdd Oct 2021,cdd Nov 2021,cdd Dec 2021,cdd Jan 2022,cdd Feb 2022,cdd Mar 2022,cdd Apr 2022,cdd May 2022,cdd Jun 2022,cdd Jul 2022,cdd Aug 2022,cdd Sep 2022,cdd Oct 2022,cdd Nov 2022,cdd Dec 2022,cdd Jan 2023,cdd Feb 2023,cdd Mar 2023,cdd Apr 2023,cdd May 2023,cdd Jun 2023,cdd Jul 2023,cdd Aug 2023,cdd Sep 2023,cdd Oct 2023,cdd Nov 2023,cdd Dec 2023,hdd Jan 2021,hdd Feb 2021,hdd Mar 2021,hdd Apr 2021,hdd May 2021,hdd Jun 2021,hdd Jul 2021,hdd Aug 2021,hdd Sep 2021,hdd Oct 2021,hdd Nov 2021,hdd Dec 2021,hdd Jan 2022,hdd Feb 2022,hdd Mar 2022,hdd Apr 2022,hdd May 2022,hdd Jun 2022,hdd Jul 2022,hdd Aug 2022,hdd Sep 2022,hdd Oct 2022,hdd Nov 2022,hdd Dec 2022,hdd Jan 2023,hdd Feb 2023,hdd Mar 2023,hdd Apr 2023,hdd May 2023,hdd Jun 2023,hdd Jul 2023,hdd Aug 2023,hdd Sep 2023,hdd Oct 2023,hdd Nov 2023,hdd Dec 2023
"ANCHORAGE, AK",0,99504,61.2,-149.75,0,1300,0,1222,0,1205,0,874,0,499,2,241,4,195,0,251,0,479,0,879,0,1327,0,1487,99504,61.2,-149.75,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,1402,1396,880,515,244,182,222,509,831,1461,1445,1325,1026,996,785,415,157,197,265,429,859,1225,1549,1267,1237,1222,958,566,323,206,267,500,948,1294,1468
"BARROW, AK",1,99723,71.28,-156.78,0,2274,0,2267,0,2204,0,1892,0,1244,0,826,0,660,0,791,0,937,0,1362,0,1750,0,2139,99723,71.28,-156.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227,2369,2316,1781,1288,830,714,808,929,1274,1739,2208,2387,2271,2191,1880,1252,815,754,758,875,1251,1534,1861,2207,2160,2104,2014,1193,833,513,808,1006,1560,1977,2348
"BETHEL, AK",2,99559,60.81,-161.85,0,1742,0,1502,0,1450,0,1167,0,640,1,322,3,306,1,363,0,574,0,1028,0,1548,0,1588,99559,60.81,-161.85,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,1529,1575,1106,574,372,314,359,612,1031,1916,1413,1849,1461,1354,977,616,231,304,377,527,971,1306,1632,1690,1517,1420,1418,731,362,301,352,582,1081,1422,1719
"BETTLES FIELD, AK",3,99726,67.24,-152.27,0,2164,0,2156,0,1862,0,1376,0,578,5,212,29,167,6,371,0,680,0,1288,0,1946,0,2228,99726,67.24,-152.27,0,0,0,0,0,13,14,18,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,2050,2324,2021,1328,586,197,169,412,725,1152,2090,2219,2356,2086,1703,1212,597,187,227,346,598,1285,1772,2209,2087,2059,1863,1589,551,251,105,355,718,1427,1977,2256
"COLD BAY, AK",4,99571,55.22,-162.78,0,1132,0,851,0,1003,0,875,0,730,0,502,0,415,0,393,0,484,0,737,0,933,0,959,99571,55.22,-162.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,793,983,791,676,486,397,357,493,755,1110,914,1140,850,1067,896,735,506,446,420,447,683,785,919,1161,909,958,937,779,514,401,402,511,773,904,1045
"COPPER CENTER, AK",5,99573,61.68,-145.14,0,1951,0,1632,0,1531,0,1073,0,626,1,283,6,185,0,350,0,642,0,1143,0,1784,0,2126,99573,61.68,-145.14,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1943,1938,1699,1046,605,280,188,335,679,1113,1940,2065,2034,1357,1370,1055,644,273,239,352,596,1128,1636,2241,1875,1600,1523,1118,629,295,129,363,651,1189,1777,2071
"CORDOVA, AK",6,99574,60.79,-145.61,0,1014,0,1004,0,1050,0,803,0,601,0,358,0,298,0,326,0,485,0,744,0,1071,0,1220,99574,60.79,-145.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,1132,1186,821,612,357,322,327,489,754,1198,1339,1093,864,887,787,564,309,289,307,463,689,973,1142,957,1017,1078,802,626,409,284,344,504,788,1042,1178
"DELTA JUNCTION, AK",7,99737,63.7,-144.89,0,1805,0,1761,0,1602,0,1144,0,530,10,165,40,117,6,324,0,652,0,1158,0,1789,0,1992,99737,63.7,-144.89,0,0,0,0,0,13,26,18,0,0,0,0,0,0,0,0,0,12,21,1,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0,0,1635,1892,1737,1067,532,152,99,347,722,1128,1973,1859,2001,1672,1482,1079,573,148,198,236,555,1116,1575,2005,1778,1719,1587,1286,485,195,54,390,679,1230,1819,2113
"FAIRBANKS, AK",8,99709,64.9,-148.16,0,2093,0,1895,0,1670,0,1155,1,428,23,99,66,60,14,234,0,568,0,1147,0,1823,0,2094,99709,64.9,-148.16,0,0,0,0,0,35,63,41,0,0,0,0,0,0,0,0,0,15,36,1,0,0,0,0,0,0,0,0,3,20,100,0,0,0,0,0,2058,2071,1798,1117,386,77,48,263,604,1044,1922,1948,2208,1805,1580,1076,489,77,107,169,492,1119,1669,2129,2013,1808,1632,1273,409,144,24,271,608,1277,1878,2205
"HOMER, AK",9,99603,59.4,-151.32,0,1107,0,1002,0,1062,0,835,0,589,0,359,0,276,0,320,0,489,0,783,0,1128,0,1220,99603,59.4,-151.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,1072,1194,815,596,386,281,320,529,775,1317,1235,1268,876,894,790,559,319,281,292,426,736,1000,1214,1023,1058,1097,899,612,372,267,347,511,839,1066,1210
"JUNEAU, AK",10,99801,58.58,-134.77,0,983,0,975,0,968,0,742,0,490,2,259,3,187,2,246,0,417,0,667,0,936,0,1225,99801,58.58,-134.77,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,955,1089,988,734,526,248,179,239,423,726,893,1338,1058,855,868,763,487,239,248,211,381,580,968,1220,935,980,1048,730,458,291,133,287,446,696,947,1117
"KENAI, AK",11,99611,60.66,-150.9,0,1347,0,1265,0,1309,0,951,0,587,0,367,0,297,0,332,0,527,0,902,0,1372,0,1572,99611,60.66,-150.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,1417,1522,937,605,373,284,343,578,856,1520,1578,1432,1085,1078,896,543,323,280,314,463,899,1311,1641,1284,1293,1328,1020,612,404,327,339,540,951,1286,1497
